ID,Category,Question,Answer
477,Patterns,"What is ""Container/Presenter"" status?","It is largely replaced by Hooks. Logic is now extracted into Hooks, and the Component becomes the Presenter."
478,Core,"What is ""Ref Forwarding""?",automatically passing a ref through a component to one of its children.
479,Security,"What is ""Clickjacking""?",Using transparent iframes to trick users. Use X-Frame-Options: DENY header to prevent your React app from being iframed.
480,Advanced,What is structuredClone?,A modern browser API to deep clone objects. Useful in reducers instead of messy spread operators (though generic libraries are safer for older browsers).
481,Ecosystem,"What is ""Electron""?",A framework to build Desktop Apps (Windows/Mac/Linux) using Web Technologies (React).
482,Scenarios,"User complains ""Buttons don't work"".",Check for JS errors blocking the thread. Check if onClick handlers are actually attached. Check if z-index of an overlay is blocking clicks.
483,Architecture,"What is ""DDD"" (Domain Driven Design)?","Structuring your React app by Business Domain (e.g., features/checkout, features/inventory) rather than technical layers."
484,Hooks,What is useRef for variables?,"Storing data that is mutable (can change) but should not trigger a re-render when it changes (e.g., timers, scroll positions)."
485,Core,"What is a ""Pure Function""?",A function that always returns the same output for the same input and has no side effects. Reducers must be pure.
486,Testing,"What is ""Mocking the Date""?",Freezing the system time in tests so that components relying on new Date() produce consistent snapshots.
487,Advanced,"What is ""Temporal Dead Zone""?",Accessing a let or const variable before it is declared. Can happen in complex React renders if variables are disorganized.
488,Optimization,"What is ""Font FOUT/FOIT""?",Flash of Unstyled/Invisible Text. Optimize font loading in React apps using font-display: swap.
489,Scenarios,"How to fix ""Prop Drilling"" without Context?",Use Component Composition. Pass the child component down as a prop (children or slot) so intermediate components don't need to know the data.
490,Environment,What is CI/CD?,"Continuous Integration/Deployment. Automating the running of React tests, linting, and build scripts whenever code is pushed to Git."
491,React 18,What is renderToPipeableStream?,A Node.js streaming API for Server-Side Rendering that supports Suspense and HTML streaming.
492,Core,"What is ""Strict Mode"" side effects?",It intentionally invokes generic lifecycle methods twice to help you find impure side effects.
493,Tools,"What is ""npm audit""?",A command to check your dependencies for known security vulnerabilities.
494,Patterns,"What is ""Polymorphic Component""?","A component that can accept an as prop to change the HTML tag it renders (e.g., <Text as=""h1""> vs <Text as=""p"">)."
495,Advanced,"What is ""Memoization"" cost?",Memoization (useMemo) has a memory and computation cost. Don't use it for simple calculations; only for expensive ones.
496,Career,Why choose React over Vue?,"React has a larger ecosystem, more jobs, and is ""Just JavaScript"" (flexible). Vue is easier to learn but more opinionated (DSL)."
497,Career,"What is ""Technical Debt"" in React?","Using any in TS, ignoring lint warnings, prop drilling deep, or writing huge monolithic components to ""ship fast"" that must be refactored later."
498,Future,What is the future of React?,"Server Components, Compiler-based optimizations (No manual memoization), and full-stack capabilities (Next.js/Remix integration)."
499,Fun,"What is the ""Rules of Hooks"" plugin?",An ESLint plugin (eslint-plugin-react-hooks) that catches hook errors automatically. It is mandatory for modern dev.
500,Final,How do you become a Senior React Dev?,"Master the fundamentals (JS), understand how React works under the hood (Fiber), write clean/testable code, and understand Architecture (SSR, Patterns, State)."
501,System Design,"Design an ""Infinite Scroll"" feed. How do you handle memory leaks as the list hits 10k items?",Use Virtualization (Windowing) to render only visible nodes. Implement DOM recycling and maintain scroll position anchors when refetching upstream data.
502,System Design,Architect a Real-Time Chat App. How do you handle message ordering and offline support?,Use WebSockets for live data. Implement Optimistic UI (append local msg immediately). Use indexedDB for offline storage and a sync queue for reconnection.
503,System Design,"Design a ""Drag and Drop"" Kanban Board. How do you optimize performance during the drag?","Avoid React state updates on mousemove. Use Refs and direct DOM transformation (transform: translate) for the drag preview, then sync React state only on drop."
504,System Design,How to build a File Uploader with Progress & Cancellation?,Use XMLHttpRequest (native progress events) or Axios. Store the AbortController in a Ref to allow the user to cancel the specific request. Chunk large files.
505,System Design,Design a generic Role-Based Access Control (RBAC) system.,specific usePermission hook. Create a <Protected> wrapper component that checks user roles against required props and renders children or null/Redirect.
506,System Design,"How to prevent ""Theme Flashing"" (FOUC) in SSR apps?",Inject a critical script in the <head> (blocking) to read localStorage and set the CSS variable/class before the body paints.
507,System Design,Design an Undo/Redo system for a complex form.,"Use two stacks (Past, Future) and a Present state. On ""Undo"", push Present to Future, pop Past to Present. Libraries like redux-undo or custom hooks work best."
508,System Design,How to handle A/B Testing without performance loss?,"Decisions should ideally happen at the Edge (Middleware) or Server. Lazy load the ""B"" variant component to ensure users in group ""A"" don't download dead code."
509,Internals,"What is ""Double Buffering"" in React Fiber?","React keeps two trees: current (visible) and workInProgress. Work happens on the hidden tree. Once complete, pointers swap. This enables interruptible rendering."
510,Internals,Why does React use Linked Lists for Hooks?,"The Call Stack is temporary. To persist state between renders, React attaches a Linked List of hook data to the Fiber node. Order matters to traverse this list correctly."
511,Internals,Does Context bypass React.memo?,"Yes. If a component is memoized but consumes a Context, it will re-render when that Context value changes, regardless of its props."
512,Internals,What exactly triggers useEffect cleanup?,1. Component unmount. 2. Dependency array changes (cleanup runs before the new effect). 3. Re-renders (if no dependency array is provided).
513,Internals,Why is return null still a performance cost?,"React still creates the Fiber node, runs lifecycle methods, calculates diffs, and executes hooks. It just skips the final DOM painting step."
514,Internals,How does React 17+ handle Event Pooling?,It doesn't. Event pooling was removed. e.persist() is no longer needed. Events are now standard JS objects and are garbage collected normally.
515,Internals,"If you have two useEffects, which runs first?",They run in the order they are written in the code.
516,Edge Case,Defining a component inside another component?,"Never do this. The inner component is redefined on every render, causing it to unmount/remount, losing all local state and focus."
517,Edge Case,Can a parent catch a child's useEffect error?,No. Standard try/catch in render doesn't catch async errors. You must use an Error Boundary component.
518,Next.js,layout.js vs template.js in Next 13+?,layout preserves state on navigation (does not remount). template creates a new instance (remounts) on navigation.
519,React Query,isLoading vs isFetching?,"isLoading: ""I have no data AND I am loading"" (Initial load). isFetching: ""I am loading"" (Includes background refetches where old data is still visible)."
520,State,"How do ""Transient Updates"" (Zustand/Valtio) work?","Subscribing to changes outside React's render cycle (e.g., updating a Ref directly). Useful for high-performance needs like scroll animations or mouse tracking."
521,Patterns,"Limitation of the ""Compound Component"" pattern?","React.Children.map cannot ""see"" inside wrapper components (e.g., <Tabs><div><Tab/></div></Tabs> breaks it). Context API is the modern fix for this."
522,TypeScript,"What is a ""Polymorphic"" Component?","A component that accepts an as prop to change its HTML tag (e.g., Button acting as <a>). Requires ComponentPropsWithRef<E> to type correctly."
523,Security,How to prevent JSON Hijacking?,React can't fix this alone. The API should prepend while(1); to the response (infinite loop) to prevent malicious <script> tags from reading the array.
524,Testing,How to test setInterval hooks?,Do not wait for real time. Use Jest Fake Timers: jest.useFakeTimers() and jest.advanceTimersByTime(1000).
525,Styles,"What is ""Zero-Runtime"" CSS-in-JS?","Libraries (Vanilla Extract, Panda CSS) that compile styles to static .css files at build time, removing the JavaScript runtime overhead of Emotion/Styled-Components."
526,Coding,Implement usePrevious hook.,Use useRef to store the value. Use useEffect to update ref.current = value. Return ref.current. (The return happens before the update).
527,Coding,Implement useDebounce hook.,"Input: value, delay. useEffect sets a setTimeout to update a local state. return function clears timeout. Return the debounced state."
528,Coding,Implement generic useFetch.,"State: data, loading, error. Use useEffect. Create AbortController. On unmount, call abort(). Handle err.name === 'AbortError'."
529,Coding,"Implement ""Click Outside"" hook.",useEffect adds mousedown listener to document. Check if (ref.current && !ref.current.contains(e.target)). Call callback. Cleanup listener.
530,Coding,"Implement ""Deep Compare"" useEffect.",Store previousDeps in a useRef. Use a helper function (like Lodash isEqual) to compare new deps vs ref. Only run effect if !isEqual.
531,Coding,"Build a ""Star Rating"" component.",Needs two states: rating (persisted) and hover (temporary). Loop 5 times. `active = index <= (hover
532,Coding,Optimize a slow list (No Virtualization).,1. React.memo list items. 2. Ensure key is stable (not index). 3. Pass dispatch or useCallback instead of inline arrow functions.
533,Coding,"Build a Recursive ""Folder Tree"".","Component takes node. If node.children exists, map and render <Self node={child} />. Handle open/close state."
534,Coding,Context Provider Performance.,"The value object passed to Provider must be memoized (useMemo). If not, every render of Provider creates a new object, forcing consumers to re-render."
535,Coding,Implement useInterval (Dan Abramov style).,useEffect is tricky with intervals (stale closures). Save the callback in a useRef. useEffect sets interval and calls savedCallback.current.
536,Soft Skills,Legacy Migration Strategy?,Strangler Pattern. Don't rewrite. Build new features in Hooks. Wrap old Class components if needed. Refactor old code only when touching it for bugs.
537,Soft Skills,When NOT to use useEffect?,Don't use it for: 1. Transforming data (do it in render). 2. Handling user events (do it in event handlers). 3. Setting derived state (calculate it).
538,Soft Skills,Strategy to reduce Bundle Size?,1. Analyze (webpack-bundle-analyzer). 2. Code Split routes (React.lazy). 3. Tree Shake libraries (import lodash/debounce not lodash). 4. Compress images.
539,Soft Skills,Context vs Redux for HFT (Trading) App?,"Redux. Context triggers re-renders for all consumers on updates. A trading app needs granular, high-frequency updates (Selectors) which Redux provides efficiently."
540,Soft Skills,Enforcing A11y standards?,1. eslint-plugin-jsx-a11y. 2. Axe-core in CI/CD (integration tests). 3. Mandate keyboard navigation testing in PR reviews.
541,Advanced,"What is ""Tearing"" in UI?","When the UI shows two different states of the same data simultaneously (e.g., top of list shows State A, bottom shows State B). React 18 Concurrent Mode fixes this."
542,Advanced,useCallback vs useMemo return values?,"useCallback(fn, deps) returns the function itself. useMemo(fn, deps) returns the result of calling the function."
543,Advanced,"What is the ""Waterfall"" problem in Data Fetching?","Component A fetches -> waits -> renders B -> B fetches. Fix: Fetch parallel (Promise.all), hoist data requirements, or use Relay/Suspense."
544,Advanced,Difference: rem vs em in Components?,rem is relative to Root (html). em is relative to the parent font size. rem is safer for consistent sizing in reusable components.
545,Advanced,"How to debug a ""White Screen of Death"" in Prod?",1. Check console for syntax errors. 2. Verify base path in index.html. 3. Check if an Error Boundary caught a crash but had no fallback UI.
546,Performance,What is content-visibility: auto?,A CSS property that improves rendering performance by skipping layout/paint for off-screen content (like a native browser Virtualization).
547,Internals,"What is a ""Fiber"" node really?","A JavaScript object that contains information about a component input, its output, and its place in the tree. It is the unit of work in React."
548,React 19,What is the use hook's unique rule?,"It is the only hook that can be called inside loops (if, for) or conditionally. It unwraps Promises or Context."
549,Patterns,"What is ""Render Props"" mainly used for now?","Mostly replaced by Hooks, but still useful for libraries that need to expose rendering control to the user (e.g., Downshift, Virtual Lists)."
550,Final,How to handle a 100MB JSON response?,Do not load it. Pagination (Server side). If forced: Stream the JSON parsing (using oboe.js or standard Streams API) and populate the store incrementally.
